来源,食谱,原料,原料类别,类型,营养状态,营养状态名,当前制备方法,问题数,最高严重度,问题类型,说明,建议修法
正式食谱,燕麦三文鱼猪肉,卷心菜,蔬菜类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,(无档案),,去瓤、生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦三文鱼猪肉,卷心菜,蔬菜类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,卷心菜,蔬菜类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,(无档案),,去瓤、生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦三文鱼猪肉,生葵花籽仁,坚果种子类,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,(无档案),,去瓤、生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦三文鱼猪肉,生葵花籽仁,坚果种子类,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,红甜椒,蔬菜类及制品,FOOD,(无档案),,去瓤、生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦三文鱼猪肉,生葵花籽仁,坚果种子类,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,橄榄油,油脂类,FOOD,(无档案),,生重、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,生葵花籽仁,坚果种子类,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,橄榄油,油脂类,FOOD,(无档案),,生重、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,食用盐,调味品类,FOOD,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,白芝麻,坚果种子类,FOOD,(无档案),,生重、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,白芝麻,坚果种子类,FOOD,(无档案),,生重、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,食用盐,调味品类,FOOD,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,鸡蛋壳粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,橄榄油,油脂类,FOOD,(无档案),,生重、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,鸡蛋壳粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,橄榄油,油脂类,FOOD,(无档案),,生重、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,食用盐,调味品类,FOOD,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,食用盐,调味品类,FOOD,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,骨粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,骨粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦三文鱼猪肉,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,牛霖,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,牛霖,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,牛心,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,牛心,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,牛肝,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,牛肝,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,鸡蛋,蛋类及制品,FOOD,(无档案),,去壳、全蛋、生重、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,鸡蛋,蛋类及制品,FOOD,(无档案),,去壳、全蛋、生重、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,三文鱼,水产类,FOOD,(无档案),,去皮、去骨、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,三文鱼,水产类,FOOD,(无档案),,去皮、去骨、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,燕麦,谷类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,燕麦,谷类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,山药,薯类及制品,FOOD,(无档案),,去皮、生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦山药牛肉饭,山药,薯类及制品,FOOD,(无档案),,去皮、生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦山药牛肉饭,紫甘蓝,蔬菜类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦山药牛肉饭,紫甘蓝,蔬菜类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦山药牛肉饭,秋葵,蔬菜类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦山药牛肉饭,秋葵,蔬菜类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦山药牛肉饭,生葵花籽仁,坚果种子类,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,生葵花籽仁,坚果种子类,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,食用盐,调味品类,FOOD,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,食用盐,调味品类,FOOD,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,鸡蛋壳粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,鸡蛋壳粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,葡萄糖酸锌片,乳类及制品,SUPPLEMENT,(无档案),,打粉、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,葡萄糖酸锌片,乳类及制品,SUPPLEMENT,(无档案),,打粉、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦山药牛肉饭,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦米比目鱼鸭肉,燕麦米,谷类及制品,FOOD,raw,生/干,生重打成粉后，搅拌均匀。,4,高,D1 状态枚举不规范 + B4 口语化/标点 + B2 分隔符不规范 + B5 非标准词,营养档案状态写成「raw」，小写/非标准值会让所有语义校验静默失效；句尾带句号，与其它文案不统一；用了半角逗号；自由文本：生重打成粉后 / 搅拌均匀。,把状态枚举归一为 RAW/COOKED 等标准值；去掉句号，统一用「、」分隔；统一改为顿号「、」；归入受控词表或补进字典
正式食谱,燕麦米青花鱼鸭肉,燕麦米,谷类及制品,FOOD,raw,生/干,生重打成粉后、搅拌均匀。,3,高,D1 状态枚举不规范 + B4 口语化/标点 + B5 非标准词,营养档案状态写成「raw」，小写/非标准值会让所有语义校验静默失效；句尾带句号，与其它文案不统一；自由文本：生重打成粉后 / 搅拌均匀。,把状态枚举归一为 RAW/COOKED 等标准值；去掉句号，统一用「、」分隔；归入受控词表或补进字典
正式食谱,燕麦米青花鱼鸭肉,紫甘蓝,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦米青花鱼鸭肉(财宝),燕麦米,谷类及制品,FOOD,raw,生/干,生重打成粉后、搅拌均匀。,3,高,D1 状态枚举不规范 + B4 口语化/标点 + B5 非标准词,营养档案状态写成「raw」，小写/非标准值会让所有语义校验静默失效；句尾带句号，与其它文案不统一；自由文本：生重打成粉后 / 搅拌均匀。,把状态枚举归一为 RAW/COOKED 等标准值；去掉句号，统一用「、」分隔；归入受控词表或补进字典
正式食谱,燕麦米青花鱼鸭肉(财宝),紫甘蓝,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,猪里脊,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,猪肝,畜肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,狭鳕鱼柳,水产类,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,生蚝,水产类,FOOD,(无档案),,去壳、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,(无档案),,去皮、生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,COOKED,熟,去皮、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,COOKED,熟,去皮、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,COOKED,熟,去皮、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,燕麦,谷类及制品,FOOD,(无档案),,打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,COOKED,熟,去皮、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,红薯,薯类及制品,FOOD,COOKED,熟,去皮、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,(无档案),,生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,西兰花,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,(无档案),,去瓤、生重、打碎、充分搅拌,2,高,E1 无营养档案 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；统一口径
正式食谱,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,COOKED,熟,去瓤、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,COOKED,熟,去瓤、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,红甜椒,蔬菜类及制品,FOOD,COOKED,熟,去瓤、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,燕麦鳕鱼猪肉,生葵花籽仁,坚果种子类,FOOD,(无档案),,生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,小麦胚芽油,油脂类,FOOD,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,食用盐,调味品类,FOOD,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,碳酸钙粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,维生素D3胶囊,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,燕麦鳕鱼猪肉,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,牛牛的定制食谱（兔）20260914,娃娃菜,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,1,高,A1 熟档案却写生重,营养数据是熟食口径，却让按生重称量,文案改「熟重」或「煮熟后称重」
正式食谱,牛牛的定制食谱（兔）20260914,鲜香菇,菌藻类,FOOD,COOKED,熟,生重、打碎、充分搅拌,1,高,A1 熟档案却写生重,营养数据是熟食口径，却让按生重称量,文案改「熟重」或「煮熟后称重」
正式食谱,牛牛的定制食谱（牛）20260914,黑米,谷类及制品,FOOD,cooked,熟/米饭,煮熟后打碎,3,高,D1 状态枚举不规范 + B5 非标准词 + A3 熟档案未写口径,营养档案状态写成「cooked」，小写/非标准值会让所有语义校验静默失效；自由文本：煮熟后打碎；没写按生重还是熟重称量,把状态枚举归一为 RAW/COOKED 等标准值；归入受控词表或补进字典；补「熟重」
正式食谱,牛牛的定制食谱（牛）20260914,紫甘蓝,蔬菜类及制品,FOOD,COOKED,熟,生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,牛牛的定制食谱（牛）20260914,红甜椒,蔬菜类及制品,FOOD,COOKED,熟,去瓤、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,牛牛的定制食谱（牛）20260914,南瓜,蔬菜类及制品,FOOD,COOKED,熟,去皮、去瓤、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,牛牛的定制食谱（牛）20260914,白蘑菇,菌藻类,FOOD,COOKED,熟,生重、打碎、充分搅拌,1,高,A1 熟档案却写生重,营养数据是熟食口径，却让按生重称量,文案改「熟重」或「煮熟后称重」
正式食谱,牛肉食谱,猪肾,畜肉类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,牛肉食谱,红甜椒,蔬菜类及制品,FOOD,RAW,生,去籽、煮熟后称重、打碎、充分搅拌,3,高,B5 非标准词 + A2 生档案却写熟重 + A4 同原料口径不一致,自由文本：去籽；营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；先定规则：改文案或改档案；统一口径
正式食谱,牛肉食谱,西葫芦,蔬菜类及制品,FOOD,RAW,生,煮熟后称重、打碎、充分搅拌,1,高,A2 生档案却写熟重,营养数据是生食口径，却让按熟重称量,先定规则：改文案或改档案
正式食谱,牛肉食谱,南瓜,蔬菜类及制品,FOOD,RAW,生,去瓤、去皮、煮熟后沥水、称重、打碎、充分搅拌,3,高,B5 非标准词 + A2 生档案却写熟重 + A4 同原料口径不一致,自由文本：煮熟后沥水 / 称重；营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；先定规则：改文案或改档案；统一口径
正式食谱,牛肉食谱,藜麦,谷类及制品,FOOD,COOKED,熟,生重、打粉、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,犇犇 的鲜食食谱 08/03,南美对虾虾仁,水产类,FOOD,raw,生,(空),2,高,D1 状态枚举不规范 + B3 文案为空,营养档案状态写成「raw」，小写/非标准值会让所有语义校验静默失效；没有任何制备/称重说明,把状态枚举归一为 RAW/COOKED 等标准值；按原料+档案状态补全标准文案
正式食谱,犇犇 的鲜食食谱 08/03,南瓜,蔬菜类及制品,FOOD,RAW,生,去皮、去瓤、煮熟后称重、打碎、充分搅拌,2,高,A2 生档案却写熟重 + A4 同原料口径不一致,营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,先定规则：改文案或改档案；统一口径
正式食谱,猪里脊青花鱼藜麦小米,猪里脊,畜肉类及制品,FOOD,(无档案),,去皮、去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,猪里脊青花鱼藜麦小米,猪里脊,畜肉类及制品,FOOD,(无档案),,去皮、去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,猪里脊青花鱼藜麦小米,青花鱼,水产类,FOOD,(无档案),,去骨、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,猪里脊青花鱼藜麦小米,青花鱼,水产类,FOOD,(无档案),,去骨、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
正式食谱,猪里脊青花鱼藜麦小米,鸡肝,禽肉类及制品,FOOD,(无档案),,去油、生重、打碎、充分搅拌,1,高,E1 无营养档案,该原料没有营养档案：生熟状态为空、无法按档案核算营养,补营养档案映射
